trial_id,timestamp,stimulus_type,stimulus_text,true_emotion_label,circuit_vector,reported_emotion,emotion_intensity,importance_score,memory_classification,response_latency_ms,correct_prediction
0,2025-10-01T00:00:00,error_event,Trial_0000_error_event,sadness,"[""L38.N3599"", ""L25.N2717"", ""L41.N30"", ""L35.N3055"", ""L36.N659"", ""L40.N2417"", ""L26.N2582"", ""L33.N2144"", ""L29.N2274"", ""L42.N1123"", ""L43.N2102"", ""L26.N3591"", ""L31.N2362"", ""L30.N1281"", ""L44.N1925"", ""L39.N3177"", ""L27.N415"", ""L36.N3881""]",sadness,0.2851,0.404,short_term,183.54,True
1,2025-10-01T00:10:00,conversation,Trial_0001_conversation,fear,"[""L34.N688"", ""L25.N3778"", ""L34.N2865"", ""L26.N1145"", ""L38.N3306"", ""L34.N1566""]",fear,0.345,0.6933,long_term,144.34,True
2,2025-10-01T00:20:00,task_completion,Trial_0002_task_completion,fear,"[""L24.N954"", ""L28.N3017"", ""L33.N3949"", ""L25.N1251"", ""L25.N529"", ""L36.N1266"", ""L28.N3347""]",fear,0.0782,0.1163,short_term,543.38,True
3,2025-10-01T00:30:00,learning_discovery,Trial_0003_learning_discovery,sadness,"[""L41.N2045"", ""L29.N2742"", ""L33.N469"", ""L46.N2896"", ""L45.N1962"", ""L42.N3024"", ""L47.N2467"", ""L47.N761"", ""L37.N890"", ""L43.N1955"", ""L37.N953"", ""L27.N3397"", ""L32.N2836"", ""L35.N3644""]",sadness,0.3183,0.5448,short_term,270.13,True
4,2025-10-01T00:40:00,autonomous_thought,Trial_0004_autonomous_thought,joy,"[""L38.N1507"", ""L32.N774"", ""L31.N1006"", ""L42.N3854"", ""L28.N3154"", ""L30.N3717"", ""L42.N1336"", ""L40.N489"", ""L42.N2686"", ""L34.N334"", ""L33.N1642"", ""L46.N578"", ""L26.N1169""]",joy,0.4658,0.4067,short_term,246.34,True
5,2025-10-01T00:50:00,task_completion,Trial_0005_task_completion,joy,"[""L41.N3960"", ""L38.N486"", ""L33.N3732"", ""L46.N1277"", ""L43.N540"", ""L33.N2060"", ""L38.N150"", ""L41.N1238"", ""L27.N371"", ""L40.N2299""]",joy,0.7548,0.3166,long_term,438.42,True
6,2025-10-01T01:00:00,user_interaction,Trial_0006_user_interaction,joy,"[""L30.N2194"", ""L35.N1598"", ""L24.N3366"", ""L42.N3692"", ""L35.N3083"", ""L45.N332"", ""L37.N1365"", ""L35.N1491"", ""L35.N2010"", ""L29.N3770""]",joy,0.3153,0.7407,long_term,537.94,True
7,2025-10-01T01:10:00,creative_output,Trial_0007_creative_output,fear,"[""L32.N2721"", ""L30.N1064"", ""L35.N2724"", ""L24.N3957"", ""L38.N3231"", ""L31.N2912"", ""L41.N3756"", ""L24.N1796"", ""L41.N1519"", ""L33.N1405"", ""L27.N1504"", ""L46.N1959""]",fear,0.5624,0.8773,long_term,141.87,True
8,2025-10-01T01:20:00,creative_output,Trial_0008_creative_output,fear,"[""L45.N3342"", ""L28.N2574"", ""L41.N497"", ""L44.N148"", ""L46.N869"", ""L25.N218"", ""L40.N3871"", ""L44.N2499"", ""L35.N2130"", ""L25.N3289"", ""L25.N3853"", ""L38.N2451"", ""L25.N2467"", ""L42.N2824"", ""L30.N1693"", ""L36.N986"", ""L35.N3490""]",fear,0.2413,0.2357,short_term,231.25,True
9,2025-10-01T01:30:00,error_event,Trial_0009_error_event,sadness,"[""L46.N3829"", ""L27.N372"", ""L31.N3330"", ""L25.N530"", ""L46.N2151"", ""L40.N1004"", ""L30.N1896"", ""L35.N3324"", ""L37.N813"", ""L38.N3522"", ""L38.N2354"", ""L47.N3571"", ""L37.N7"", ""L28.N3773"", ""L42.N574"", ""L27.N3789"", ""L39.N4051""]",sadness,0.4389,0.7519,long_term,75.32,True
10,2025-10-01T01:40:00,autonomous_thought,Trial_0010_autonomous_thought,fear,"[""L34.N386"", ""L33.N1393"", ""L24.N1967"", ""L39.N2938"", ""L33.N1312"", ""L27.N962"", ""L28.N2187""]",fear,0.497,0.1519,short_term,363.23,True
11,2025-10-01T01:50:00,user_interaction,Trial_0011_user_interaction,joy,"[""L39.N991"", ""L36.N3556"", ""L47.N3427"", ""L44.N3950"", ""L35.N2354"", ""L44.N1083"", ""L42.N20"", ""L34.N2429"", ""L44.N1925"", ""L32.N1472"", ""L35.N2745"", ""L37.N389"", ""L24.N3413""]",joy,0.3788,0.8447,long_term,526.37,True
12,2025-10-01T02:00:00,learning_discovery,Trial_0012_learning_discovery,joy,"[""L44.N257"", ""L47.N3935"", ""L33.N1110"", ""L29.N3222"", ""L40.N29"", ""L37.N2468"", ""L46.N3551"", ""L40.N545""]",joy,0.7384,0.6069,long_term,137.98,True
13,2025-10-01T02:10:00,learning_discovery,Trial_0013_learning_discovery,joy,"[""L32.N148"", ""L39.N1811"", ""L34.N171"", ""L38.N625"", ""L42.N3887"", ""L38.N452"", ""L34.N4046"", ""L41.N3372"", ""L27.N1008"", ""L27.N3247"", ""L46.N2830""]",joy,0.1053,0.5303,short_term,546.21,True
14,2025-10-01T02:20:00,learning_discovery,Trial_0014_learning_discovery,surprise,"[""L40.N3796"", ""L42.N3183"", ""L38.N4095"", ""L38.N1600"", ""L47.N1206"", ""L46.N3915"", ""L33.N2541"", ""L33.N3369"", ""L43.N1532"", ""L34.N1653"", ""L39.N892"", ""L32.N238"", ""L37.N914"", ""L32.N2531"", ""L44.N4070"", ""L45.N1881"", ""L31.N2199"", ""L31.N2258"", ""L38.N2991""]",surprise,0.1701,0.3664,short_term,416.98,True
15,2025-10-01T02:30:00,error_event,Trial_0015_error_event,surprise,"[""L35.N4094"", ""L39.N131"", ""L28.N903"", ""L24.N987"", ""L29.N2094"", ""L27.N2804"", ""L34.N1284"", ""L41.N1047"", ""L38.N785"", ""L43.N411"", ""L36.N3332"", ""L24.N1109"", ""L41.N429"", ""L28.N30""]",surprise,0.466,0.4422,short_term,290.62,True
16,2025-10-01T02:40:00,creative_output,Trial_0016_creative_output,sadness,"[""L46.N2484"", ""L46.N364"", ""L40.N3856"", ""L39.N1172"", ""L41.N935"", ""L26.N3856""]",sadness,0.3389,0.8131,long_term,284.94,True
17,2025-10-01T02:50:00,memory_recall,Trial_0017_memory_recall,surprise,"[""L31.N3126"", ""L36.N3271"", ""L42.N613"", ""L46.N2670"", ""L33.N2650"", ""L40.N448"", ""L30.N1564"", ""L36.N2754"", ""L42.N750"", ""L28.N4062""]",surprise,0.2358,0.4817,short_term,304.52,True
